date,kota,month,month_sin,month_cos,ihk_kel_01_mtm,ihk_kel_03_mtm,ihk_kel_06_mtm,gt_harga_beras,gt_harga_cabai,gt_harga_telur,gt_harga_daging_ayam,gt_harga_minyak_goreng,gt_harga_bawang,gt_tiket_pesawat,gt_tiket_kereta,gt_harga_bensin,kurs_usd_idr,bi_rate_percent,harga_bbm_pertamax,oceanic_nino_index,is_ramadan,is_lebaran,pre_lebaran_1m,is_dry_season,is_rainy_season,is_el_nino,is_la_nina,bbm_price_hike_event,bi_rate_hike_event,ihk_umum_mtm_lag1,ihk_umum_mtm_lag2,ihk_umum_mtm_lag3,inflasi_general_mtm_lag1,inflasi_general_mtm_lag2,inflasi_general_mtm_lag3,inflasi_core_mtm_lag1,inflasi_core_mtm_lag2,inflasi_core_mtm_lag3,inflasi_administered_price_mtm_lag1,inflasi_administered_price_mtm_lag2,inflasi_administered_price_mtm_lag3,inflasi_volatile_good_mtm_lag1,inflasi_volatile_good_mtm_lag2,inflasi_volatile_good_mtm_lag3,gt_harga_beras_lag1,gt_harga_beras_lag2,gt_harga_beras_lag3,gt_harga_cabai_lag1,gt_harga_cabai_lag2,gt_harga_cabai_lag3,gt_harga_telur_lag1,gt_harga_telur_lag2,gt_harga_telur_lag3,gt_harga_daging_ayam_lag1,gt_harga_daging_ayam_lag2,gt_harga_daging_ayam_lag3,gt_harga_minyak_goreng_lag1,gt_harga_minyak_goreng_lag2,gt_harga_minyak_goreng_lag3,gt_harga_bawang_lag1,gt_harga_bawang_lag2,gt_harga_bawang_lag3,gt_tiket_pesawat_lag1,gt_tiket_pesawat_lag2,gt_tiket_pesawat_lag3,gt_tiket_kereta_lag1,gt_tiket_kereta_lag2,gt_tiket_kereta_lag3,gt_harga_bensin_lag1,gt_harga_bensin_lag2,gt_harga_bensin_lag3,kurs_usd_idr_lag1,kurs_usd_idr_lag2,kurs_usd_idr_lag3,bi_rate_percent_lag1,bi_rate_percent_lag2,bi_rate_percent_lag3,harga_bbm_pertamax_lag1,harga_bbm_pertamax_lag2,harga_bbm_pertamax_lag3,oceanic_nino_index_lag1,oceanic_nino_index_lag2,oceanic_nino_index_lag3,ihk_umum_mtm_roll_mean_3,ihk_umum_mtm_roll_std_3,ihk_umum_mtm_roll_mean_6,ihk_umum_mtm_roll_std_6,inflasi_general_mtm_roll_mean_3,inflasi_general_mtm_roll_std_3,inflasi_general_mtm_roll_mean_6,inflasi_general_mtm_roll_std_6,inflasi_core_mtm_roll_mean_3,inflasi_core_mtm_roll_std_3,inflasi_core_mtm_roll_mean_6,inflasi_core_mtm_roll_std_6,inflasi_administered_price_mtm_roll_mean_3,inflasi_administered_price_mtm_roll_std_3,inflasi_administered_price_mtm_roll_mean_6,inflasi_administered_price_mtm_roll_std_6,inflasi_volatile_good_mtm_roll_mean_3,inflasi_volatile_good_mtm_roll_std_3,inflasi_volatile_good_mtm_roll_mean_6,inflasi_volatile_good_mtm_roll_std_6,gt_harga_beras_diff1,gt_harga_beras_pct_change,gt_harga_cabai_diff1,gt_harga_cabai_pct_change,gt_harga_telur_diff1,gt_harga_telur_pct_change,gt_harga_daging_ayam_diff1,gt_harga_daging_ayam_pct_change,gt_harga_minyak_goreng_diff1,gt_harga_minyak_goreng_pct_change,gt_harga_bawang_diff1,gt_harga_bawang_pct_change,gt_tiket_pesawat_diff1,gt_tiket_pesawat_pct_change,gt_tiket_kereta_diff1,gt_tiket_kereta_pct_change,gt_harga_bensin_diff1,gt_harga_bensin_pct_change,gt_harga_beras_lag1_diff1,gt_harga_beras_lag1_pct_change,gt_harga_beras_lag2_diff1,gt_harga_beras_lag2_pct_change,gt_harga_beras_lag3_diff1,gt_harga_beras_lag3_pct_change,gt_harga_cabai_lag1_diff1,gt_harga_cabai_lag1_pct_change,gt_harga_cabai_lag2_diff1,gt_harga_cabai_lag2_pct_change,gt_harga_cabai_lag3_diff1,gt_harga_cabai_lag3_pct_change,gt_harga_telur_lag1_diff1,gt_harga_telur_lag1_pct_change,gt_harga_telur_lag2_diff1,gt_harga_telur_lag2_pct_change,gt_harga_telur_lag3_diff1,gt_harga_telur_lag3_pct_change,gt_harga_daging_ayam_lag1_diff1,gt_harga_daging_ayam_lag1_pct_change,gt_harga_daging_ayam_lag2_diff1,gt_harga_daging_ayam_lag2_pct_change,gt_harga_daging_ayam_lag3_diff1,gt_harga_daging_ayam_lag3_pct_change,gt_harga_minyak_goreng_lag1_diff1,gt_harga_minyak_goreng_lag1_pct_change,gt_harga_minyak_goreng_lag2_diff1,gt_harga_minyak_goreng_lag2_pct_change,gt_harga_minyak_goreng_lag3_diff1,gt_harga_minyak_goreng_lag3_pct_change,gt_harga_bawang_lag1_diff1,gt_harga_bawang_lag1_pct_change,gt_harga_bawang_lag2_diff1,gt_harga_bawang_lag2_pct_change,gt_harga_bawang_lag3_diff1,gt_harga_bawang_lag3_pct_change,gt_tiket_pesawat_lag1_diff1,gt_tiket_pesawat_lag1_pct_change,gt_tiket_pesawat_lag2_diff1,gt_tiket_pesawat_lag2_pct_change,gt_tiket_pesawat_lag3_diff1,gt_tiket_pesawat_lag3_pct_change,gt_tiket_kereta_lag1_diff1,gt_tiket_kereta_lag1_pct_change,gt_tiket_kereta_lag2_diff1,gt_tiket_kereta_lag2_pct_change,gt_tiket_kereta_lag3_diff1,gt_tiket_kereta_lag3_pct_change,gt_harga_bensin_lag1_diff1,gt_harga_bensin_lag1_pct_change,gt_harga_bensin_lag2_diff1,gt_harga_bensin_lag2_pct_change,gt_harga_bensin_lag3_diff1,gt_harga_bensin_lag3_pct_change,kota_jakarta,kota_makassar,kota_medan,kota_surabaya,ihk_umum_mtm,inflasi_general_mtm,inflasi_core_mtm,inflasi_administered_price_mtm,inflasi_volatile_good_mtm
2020-04-01,jakarta,4,0.866025404,-0.5,0.95,0.02,0.0,92,37,87,100,19,100,43.0,24.0,19.0,15788.09476,4.5,9000,0.3,1,0,1.0,0,0,0,0,0,0,0.01,0.32,0.32,0.1,0.28,0.39,0.29,0.14,0.19,-0.19,-0.11,-0.28,-0.38,1.27,1.93,54.0,43.0,34.0,24.0,35.0,32.0,53.0,66.0,48.0,45.0,59.0,32.0,10.0,9.0,8.0,72.0,59.0,45.0,88.0,96.0,100.0,59.0,100.0,69.0,19.0,23.0,29.0,15118.60095,13707.272,13663.56727,4.5,4.75,5.0,9000.0,9000.0,9200.0,0.5,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.153333333,0.110151411,0.183333333,0.128478273,0.2,0.079372539,0.145,0.096488341,-0.146666667,0.040414519,0.028333333,0.357402667,0.266666667,0.880927541,0.5,0.983178519,38.0,0.703703704,13.0,0.541666667,33.31,0.641509434,55.0,1.090909091,9.0,0.9,28.0,0.388888889,-41.24,-0.50788981582,-35.0,-0.593220339,0.0,0.0,11.0,0.255813953,9.0,0.264705882,9.0,0.264705882,-11.0,-0.314285714,3.0,0.09375,3.0,0.09375,-13.0,-0.196969697,18.0,0.375,18.0,0.375,-14.0,-0.237288136,27.0,0.84375,27.0,0.84375,1.0,0.111111111,1.0,0.125,1.0,0.125,13.0,0.220338983,14.0,0.311111111,14.0,0.311111111,-8.0,-0.083333333,-4.0,-0.04,-4.0,-0.04,-40.31,-0.41,31.0,0.449275362,31.0,0.449275362,-4.0,-0.173913043,-6.0,-0.206896552,-6.0,-0.206896552,1,0,0,0,-0.16,0.08,0.17,-0.14,-0.09
2020-05-01,jakarta,5,0.5,-0.866025404,-0.74,0.02,0.59,84,35,100,75,18,93,42.0,18.0,21.0,14831.66,4.5,9000,0.0,1,1,0.0,0,0,0,0,0,0,-0.16,0.01,0.32,0.08,0.1,0.28,0.17,0.29,0.14,-0.14,-0.19,-0.11,-0.09,-0.38,1.27,92.0,54.0,43.0,37.0,24.0,35.0,87.0,53.0,66.0,100.0,45.0,59.0,19.0,10.0,9.0,100.0,72.0,59.0,43.0,88.0,96.0,24.0,59.0,100.0,19.0,19.0,23.0,15788.09476,15118.60095,13707.272,4.5,4.5,4.75,9000.0,9000.0,9000.0,0.3,0.5,0.6,0.02,0.185202592,0.041666667,0.285756306,0.083333333,0.015275252,0.183333333,0.128478273,0.173333333,0.115036226,0.145,0.096488341,0.113333333,0.482735262,0.028333333,0.357402667,-0.323333333,0.210792157,0.5,0.983178519,-8.0,-0.086956522,-2.0,-0.054054054,13.0,0.149425287,-25.0,-0.25,-1.0,-0.052631579,-7.0,-0.07,-1.0,-0.023255814,-6.0,-0.25,2.0,0.105263158,38.0,0.703703704,11.0,0.255813953,9.0,0.264705882,13.0,0.541666667,-11.0,-0.314285714,3.0,0.09375,34.0,0.641509434,-13.0,-0.196969697,18.0,0.375,55.0,1.090909091,-14.0,-0.237288136,27.0,0.84375,9.0,0.9,1.0,0.111111111,1.0,0.125,28.0,0.388888889,13.0,0.220338983,14.0,0.311111111,-41.24,-0.50788981582,-8.0,-0.083333333,-4.0,-0.04,-35.0,-0.593220339,-40.31,-0.41,31.0,0.449275362,0.0,0.0,-4.0,-0.173913043,-6.0,-0.206896552,1,0,0,0,0.21,0.07,0.06,0.67,-0.5
2020-06-01,jakarta,6,1.22e-16,-1.0,0.52,0.02,-0.3,69,41,83,60,12,93,41.0,23.0,27.0,14124.97524,4.25,9000,-0.2,0,0,0.0,1,0,0,0,0,0,0.21,-0.16,0.01,0.07,0.08,0.1,0.06,0.17,0.29,0.67,-0.14,-0.19,-0.5,-0.09,-0.38,84.0,92.0,54.0,35.0,37.0,24.0,100.0,87.0,53.0,75.0,100.0,45.0,18.0,19.0,10.0,93.0,100.0,72.0,42.0,43.0,88.0,18.0,24.0,59.0,21.0,19.0,19.0,14831.66,15788.09476,15118.60095,4.5,4.5,4.5,9000.0,9000.0,9000.0,0.0,0.3,0.5,0.11,0.236431808,0.041666667,0.285756306,0.11,0.060827625,0.183333333,0.128478273,0.083333333,0.077674535,0.145,0.096488341,0.25,0.405832478,0.028333333,0.357402667,0.06,0.648151217,0.5,0.983178519,-15.0,-0.178571429,6.0,0.171428571,-17.0,-0.17,-15.0,-0.2,-6.0,-0.333333333,0.0,0.0,-1.0,-0.023809524,5.0,0.277777778,6.0,0.285714286,-8.0,-0.086956522,38.0,0.703703704,11.0,0.255813953,-2.0,-0.054054054,13.0,0.541666667,-11.0,-0.314285714,13.0,0.149425287,34.0,0.641509434,-13.0,-0.196969697,-25.0,-0.25,55.0,1.090909091,-14.0,-0.237288136,-1.0,-0.052631579,9.0,0.9,1.0,0.111111111,-7.0,-0.07,28.0,0.388888889,13.0,0.220338983,-1.0,-0.023255814,-41.24,-0.50788981582,-8.0,-0.083333333,-6.0,-0.25,-35.0,-0.593220339,-40.31,-0.41,2.0,0.105263158,0.0,0.0,-4.0,-0.173913043,1,0,0,0,0.28,0.18,0.02,0.22,0.77
2020-07-01,jakarta,7,-0.5,-0.866025404,-0.73,-0.01,0.07,35,22,56,40,9,69,43.0,20.0,19.0,14509.49909,4.0,9000,-0.4,0,0,0.0,1,0,0,0,0,0,0.28,0.21,-0.16,0.18,0.07,0.08,0.02,0.06,0.17,0.22,0.67,-0.14,0.77,-0.5,-0.09,69.0,84.0,92.0,41.0,35.0,37.0,83.0,100.0,87.0,60.0,75.0,100.0,12.0,18.0,19.0,93.0,93.0,100.0,41.0,42.0,43.0,23.0,18.0,24.0,27.0,21.0,19.0,14124.97524,14831.66,15788.09476,4.25,4.5,4.5,9000.0,9000.0,9000.0,-0.2,0.0,0.3,0.026666667,0.379780638,0.041666667,0.285756306,0.05,0.14106736,0.101666667,0.12655697,0.08,0.072111026,0.14,0.094445752,0.273333333,0.372871738,0.063333333,0.330434058,-0.306666667,0.994199846,-0.02,0.896883493,-34.0,-0.492753623,-19.0,-0.463414634,-27.0,-0.325301205,-20.0,-0.333333333,-3.0,-0.25,-24.0,-0.258064516,2.0,0.048780488,-3.0,-0.130434783,-8.0,-0.296296296,-15.0,-0.178571429,-8.0,-0.086956522,38.0,0.703703704,6.0,0.171428571,-2.0,-0.054054054,13.0,0.541666667,-17.0,-0.17,13.0,0.149425287,34.0,0.641509434,-15.0,-0.2,-25.0,-0.25,55.0,1.090909091,-6.0,-0.333333333,-1.0,-0.052631579,9.0,0.9,0.0,0.0,-7.0,-0.07,28.0,0.388888889,-1.0,-0.023809524,-1.0,-0.023255814,-41.24,-0.50788981582,5.0,0.277777778,-6.0,-0.25,-35.0,-0.593220339,6.0,0.285714286,2.0,0.105263158,0.0,0.0,1,0,0,0,-0.41,-0.1,0.16,-0.07,-1.19
2020-08-01,jakarta,8,-0.866025404,-0.5,-0.59,0.0,-0.79,33,26,53,31,9,48,49.0,22.0,21.0,14650.88,4.0,9000,-0.5,0,0,0.0,1,0,0,1,0,0,-0.41,0.28,0.21,-0.1,0.18,0.07,0.16,0.02,0.06,-0.07,0.22,0.67,-1.19,0.77,-0.5,35.0,69.0,84.0,22.0,41.0,35.0,56.0,83.0,100.0,40.0,60.0,75.0,9.0,12.0,18.0,69.0,93.0,93.0,43.0,41.0,42.0,20.0,23.0,18.0,19.0,27.0,21.0,14509.49909,14124.97524,14831.66,4.0,4.25,4.5,9000.0,9000.0,9000.0,-0.4,-0.2,0.0,-0.02,0.353694784,9.25e-18,0.253456111,0.01,0.149331845,0.046666667,0.103085725,0.156666667,0.135030861,0.165,0.112561095,0.043333333,0.155026879,0.078333333,0.322949945,-0.62,1.210247908,-0.471666667,0.793761089,-2.0,-0.057142857,4.0,0.181818182,-3.0,-0.053571429,-9.0,-0.225,0.0,0.0,-21.0,-0.304347826,6.0,0.139534884,2.0,0.1,2.0,0.105263158,-34.0,-0.492753623,-15.0,-0.178571429,-8.0,-0.086956522,-19.0,-0.463414634,6.0,0.171428571,-2.0,-0.054054054,-27.0,-0.325301205,-17.0,-0.17,13.0,0.149425287,-20.0,-0.333333333,-15.0,-0.2,-25.0,-0.25,-3.0,-0.25,-6.0,-0.333333333,-1.0,-0.052631579,-24.0,-0.258064516,0.0,0.0,-7.0,-0.07,2.0,0.048780488,-1.0,-0.023809524,-1.0,-0.023255814,-3.0,-0.130434783,5.0,0.277777778,-6.0,-0.25,-8.0,-0.296296296,6.0,0.285714286,2.0,0.105263158,1,0,0,0,0.07,-0.05,0.29,-0.02,-1.44
2020-09-01,jakarta,9,-1.0,-1.84e-16,-0.41,0.0,-0.59,37,21,53,51,10,41,38.0,15.0,18.38,14773.71682,4.0,9000,-0.8,0,0,0.0,1,0,0,1,0,0,0.07,-0.41,0.28,-0.05,-0.1,0.18,0.29,0.16,0.02,-0.02,-0.07,0.22,-1.44,-1.19,0.77,33.0,35.0,69.0,26.0,22.0,41.0,53.0,56.0,83.0,31.0,40.0,60.0,9.0,9.0,12.0,48.0,69.0,93.0,49.0,43.0,41.0,22.0,20.0,23.0,21.0,19.0,27.0,14650.88,14509.49909,14124.97524,4.0,4.0,4.25,9000.0,9000.0,9000.0,-0.5,-0.4,-0.2,-0.173333333,0.240069434,-0.031666667,0.263622204,-0.066666667,0.028867513,0.021666667,0.105719755,0.193333333,0.085049005,0.138333333,0.094533945,-0.093333333,0.087368949,0.078333333,0.322949945,-1.076666667,0.431315816,-0.508333333,0.793761089,4.0,0.121212121,-5.0,-0.192307692,0.0,0.0,20.0,0.64516129,1.0,0.111111111,-7.0,-0.145833333,-11.0,-0.224489796,-7.0,-0.318181818,-5.0,-0.238095238,-2.0,-0.057142857,-34.0,-0.492753623,-15.0,-0.178571429,4.0,0.181818182,-19.0,-0.463414634,6.0,0.171428571,-3.0,-0.053571429,-27.0,-0.325301205,-17.0,-0.17,-9.0,-0.225,-20.0,-0.333333333,-15.0,-0.2,0.0,0.0,-3.0,-0.25,-6.0,-0.333333333,-21.0,-0.304347826,-24.0,-0.258064516,0.0,0.0,6.0,0.139534884,2.0,0.048780488,-1.0,-0.023809524,2.0,0.1,-3.0,-0.130434783,5.0,0.277777778,2.0,0.105263158,-8.0,-0.296296296,6.0,0.285714286,1,0,0,0,-0.18,-0.05,0.13,-0.19,-0.6
2020-10-01,jakarta,10,-0.866025404,0.5,-0.12,-0.04,0.1,34,25,66,59,10,41,52.0,23.0,18.38,14675.39227,4.0,9000,-1.1,0,0,0.0,0,0,0,1,0,0,-0.18,0.07,-0.41,-0.05,-0.05,-0.1,0.13,0.29,0.16,-0.19,-0.02,-0.07,-0.6,-1.44,-1.19,37.0,33.0,35.0,21.0,26.0,22.0,53.0,53.0,56.0,51.0,31.0,40.0,10.0,9.0,9.0,41.0,48.0,69.0,38.0,49.0,43.0,15.0,22.0,20.0,18.38,21.0,19.0,14773.71682,14650.88,14509.49909,4.0,4.0,4.0,9000.0,9000.0,9000.0,-0.8,-0.5,-0.4,-0.043333333,0.126622799,-0.008333333,0.256079415,-0.01,0.069282032,0.02,0.104690019,0.153333333,0.126622799,0.116666667,0.100531919,-0.12,0.088881944,0.076666667,0.32432494,-0.546666667,0.921158691,-0.426666667,0.867217773,-3.0,-0.081081081,4.0,0.19047619,13.0,0.245283019,8.0,0.156862745,0.0,0.0,0.0,0.0,14.0,0.368421053,8.0,0.533333333,1.0,0.0625,4.0,0.121212121,-2.0,-0.057142857,-34.0,-0.492753623,-5.0,-0.192307692,4.0,0.181818182,-19.0,-0.463414634,0.0,0.0,-3.0,-0.053571429,-27.0,-0.325301205,20.0,0.64516129,-9.0,-0.225,-20.0,-0.333333333,1.0,0.111111111,0.0,0.0,-3.0,-0.25,-7.0,-0.145833333,-21.0,-0.304347826,-24.0,-0.258064516,-11.0,-0.224489796,6.0,0.139534884,2.0,0.048780488,-7.0,-0.318181818,2.0,0.1,-3.0,-0.130434783,-5.0,-0.238095238,2.0,0.105263158,-8.0,-0.296296296,1,0,0,0,-0.02,0.07,0.04,-0.15,0.4
2020-11-01,jakarta,11,-0.5,0.866025404,0.82,-0.11,0.59,35,26,57,71,11,44,72.0,29.0,21.0,14165.6281,3.75,9000,-1.2,0,0,0.0,0,1,0,1,0,0,-0.02,-0.18,0.07,0.07,-0.05,-0.05,0.04,0.13,0.29,-0.15,-0.19,-0.02,0.4,-0.6,-1.44,34.0,37.0,33.0,25.0,21.0,26.0,66.0,53.0,53.0,59.0,51.0,31.0,10.0,10.0,9.0,41.0,41.0,48.0,52.0,38.0,49.0,23.0,15.0,22.0,18.38,18.38,21.0,14675.39227,14773.71682,14650.88,4.0,4.0,4.0,9000.0,9000.0,9000.0,-1.1,-0.8,-0.5,9.25e-18,0.19078784,-0.01,0.254401258,0.1,0.167032931,0.055,0.15003333,0.076666667,0.047258156,0.116666667,0.100531919,-0.06,0.191572441,-0.008333333,0.165821189,0.37,0.955353338,-0.125,1.115791199,1.0,0.029411765,1.0,0.04,-9.0,-0.136363636,12.0,0.203389831,1.0,0.1,3.0,0.073170732,20.0,0.384615385,6.0,0.260869565,4.0,0.235294118,-3.0,-0.081081081,4.0,0.121212121,-2.0,-0.057142857,4.0,0.19047619,-5.0,-0.192307692,4.0,0.181818182,13.0,0.245283019,0.0,0.0,-3.0,-0.053571429,8.0,0.156862745,20.0,0.64516129,-9.0,-0.225,0.0,0.0,1.0,0.111111111,0.0,0.0,0.0,0.0,-7.0,-0.145833333,-21.0,-0.304347826,14.0,0.368421053,-11.0,-0.224489796,6.0,0.139534884,8.0,0.533333333,-7.0,-0.318181818,2.0,0.1,1.0,0.0625,-5.0,-0.238095238,2.0,0.105263158,1,0,0,0,0.2,0.28,0.06,0.16,1.31
2020-12-01,jakarta,12,-2.45e-16,1.0,1.07,0.03,0.29,32,39,66,88,9,51,64.0,28.0,19.0,14102.22304,3.75,9000,-1.1,0,0,0.0,0,1,0,1,0,0,0.2,-0.02,-0.18,0.28,0.07,-0.05,0.06,0.04,0.13,0.16,-0.15,-0.19,1.31,0.4,-0.6,35.0,34.0,37.0,26.0,25.0,21.0,57.0,66.0,53.0,71.0,59.0,51.0,11.0,10.0,10.0,44.0,41.0,41.0,72.0,52.0,38.0,29.0,23.0,15.0,21.0,18.38,18.38,14165.6281,14675.39227,14773.71682,3.75,4.0,4.0,9000.0,9000.0,9000.0,-1.2,-1.1,-0.8,0.226666667,0.261023626,0.026666667,0.31353894,0.266666667,0.190350554,0.1,0.219453868,0.05,0.01,0.121666667,0.095376447,0.12,0.252388589,0.013333333,0.20539393,1.293333333,0.885117695,0.108333333,1.439741875,-3.0,-0.085714286,13.0,0.5,9.0,0.157894737,17.0,0.23943662,-2.0,-0.181818182,7.0,0.159090909,-8.0,-0.111111111,-1.0,-0.034482759,-2.0,-0.095238095,1.0,0.029411765,-3.0,-0.081081081,4.0,0.121212121,1.0,0.04,4.0,0.19047619,-5.0,-0.192307692,-9.0,-0.136363636,13.0,0.245283019,0.0,0.0,12.0,0.203389831,8.0,0.156862745,20.0,0.64516129,1.0,0.1,0.0,0.0,1.0,0.111111111,3.0,0.073170732,0.0,0.0,-7.0,-0.145833333,20.0,0.384615385,14.0,0.368421053,-11.0,-0.224489796,6.0,0.260869565,8.0,0.533333333,-7.0,-0.318181818,4.0,0.235294118,1.0,0.0625,-5.0,-0.238095238,1,0,0,0,0.5,0.45,0.05,0.35,2.17
2021-01-01,jakarta,1,0.5,0.866025404,0.65,0.01,-0.27,45,46,65,58,10,47,54.0,16.0,27.0,13991.593,3.75,9000,-0.9,0,0,0.0,0,1,0,1,0,0,0.5,0.2,-0.02,0.45,0.28,0.07,0.05,0.06,0.04,0.35,0.16,-0.15,2.17,1.31,0.4,32.0,35.0,34.0,39.0,26.0,25.0,66.0,57.0,66.0,88.0,71.0,59.0,9.0,11.0,10.0,51.0,44.0,41.0,64.0,72.0,52.0,28.0,29.0,23.0,19.0,21.0,18.38,14102.22304,14165.6281,14675.39227,3.75,3.75,4.0,9000.0,9000.0,9000.0,-1.1,-1.2,-1.1,0.356666667,0.150443788,0.156666667,0.251925915,0.33,0.104403065,0.16,0.20238577,0.083333333,0.049328829,0.118333333,0.094109865,0.106666667,0.27392213,-0.006666667,0.220423834,1.543333333,0.548573909,0.498333333,1.330494895,13.0,0.40625,7.0,0.179487179,-1.0,-0.015151515,-30.0,-0.340909091,1.0,0.111111111,-4.0,-0.078431373,-10.0,-0.15625,-12.0,-0.428571429,8.0,0.421052632,-3.0,-0.085714286,1.0,0.029411765,-3.0,-0.081081081,13.0,0.5,1.0,0.04,4.0,0.19047619,9.0,0.157894737,-9.0,-0.136363636,13.0,0.245283019,17.0,0.23943662,12.0,0.203389831,8.0,0.156862745,-2.0,-0.181818182,1.0,0.1,0.0,0.0,7.0,0.159090909,3.0,0.073170732,0.0,0.0,-8.0,-0.111111111,20.0,0.384615385,14.0,0.368421053,-1.0,-0.034482759,6.0,0.260869565,8.0,0.533333333,-2.0,-0.095238095,4.0,0.235294118,1.0,0.0625,1,0,0,0,0.37,0.26,0.14,-0.19,1.15
2021-02-01,jakarta,2,0.866025404,0.5,0.33,-0.01,0.44,74,48,76,73,14,51,44.0,20.0,28.0,13971.892,3.5,9000,-0.8,0,0,0.0,0,1,0,1,0,0,0.37,0.5,0.2,0.26,0.45,0.28,0.14,0.05,0.06,-0.19,0.35,0.16,1.15,2.17,1.31,45.0,32.0,35.0,46.0,39.0,26.0,65.0,66.0,57.0,58.0,88.0,71.0,10.0,9.0,11.0,47.0,51.0,44.0,54.0,64.0,72.0,16.0,28.0,29.0,27.0,19.0,21.0,13991.593,14102.22304,14165.6281,3.75,3.75,3.75,9000.0,9000.0,9000.0,-0.9,-1.1,-1.2,0.386666667,0.105987421,0.193333333,0.252797679,0.27,0.175214155,0.185,0.179192634,0.1,0.045825757,0.088333333,0.043550737,0.123333333,0.280237994,0.031666667,0.237016174,1.103333333,1.090748978,0.736666667,1.001152669,29.0,0.644444444,2.0,0.043478261,11.0,0.169230769,15.0,0.25862069,4.0,0.4,4.0,0.085106383,-10.0,-0.185185185,4.0,0.25,1.0,0.037037037,13.0,0.40625,-3.0,-0.085714286,1.0,0.029411765,7.0,0.179487179,13.0,0.5,1.0,0.04,-1.0,-0.015151515,9.0,0.157894737,-9.0,-0.136363636,-30.0,-0.340909091,17.0,0.23943662,12.0,0.203389831,1.0,0.111111111,-2.0,-0.181818182,1.0,0.1,-4.0,-0.078431373,7.0,0.159090909,3.0,0.073170732,-10.0,-0.15625,-8.0,-0.111111111,20.0,0.384615385,-12.0,-0.428571429,-1.0,-0.034482759,6.0,0.260869565,8.0,0.421052632,-2.0,-0.095238095,4.0,0.235294118,1,0,0,0,0.29,0.1,0.11,0.21,-0.01
2021-03-01,jakarta,3,1.0,6.12e-17,0.46,0.0,-0.05,85,77,70,72,14,49,51.0,24.0,30.0,14345.30652,3.5,9000,-0.7,0,0,0.0,0,0,0,1,0,0,0.29,0.37,0.5,0.1,0.26,0.45,0.11,0.14,0.05,0.21,-0.19,0.35,-0.01,1.15,2.17,74.0,45.0,32.0,48.0,46.0,39.0,76.0,65.0,66.0,73.0,58.0,88.0,14.0,10.0,9.0,51.0,47.0,51.0,44.0,54.0,64.0,20.0,16.0,28.0,28.0,27.0,19.0,13971.892,13991.593,14102.22304,3.5,3.75,3.75,9000.0,9000.0,9000.0,-0.8,-0.9,-1.1,0.25,0.144222051,0.238333333,0.189041442,0.146666667,0.098657657,0.206666667,0.150687314,0.073333333,0.090737717,0.061666667,0.059132619,0.013333333,0.200083316,0.066666667,0.211911931,0.566666667,0.580028735,0.93,0.77869121,11.0,0.148648649,29.0,0.604166667,-6.0,-0.078947368,-1.0,-0.01369863,0.0,0.0,-2.0,-0.039215686,7.0,0.159090909,4.0,0.2,2.0,0.071428571,29.0,0.644444444,13.0,0.40625,-3.0,-0.085714286,2.0,0.043478261,7.0,0.179487179,13.0,0.5,11.0,0.169230769,-1.0,-0.015151515,9.0,0.157894737,15.0,0.25862069,-30.0,-0.340909091,17.0,0.23943662,4.0,0.4,1.0,0.111111111,-2.0,-0.181818182,4.0,0.085106383,-4.0,-0.078431373,7.0,0.159090909,-10.0,-0.185185185,-10.0,-0.15625,-8.0,-0.111111111,4.0,0.25,-12.0,-0.428571429,-1.0,-0.034482759,1.0,0.037037037,8.0,0.421052632,-2.0,-0.095238095,1,0,0,0,0.09,0.08,-0.03,0.02,0.56
2021-04-01,jakarta,4,0.866025404,-0.5,0.06,0.06,-0.28,54,44,65,48,14,51,55.0,27.0,19.0,14485.39318,3.5,9000,-0.5,1,0,1.0,0,0,0,1,0,0,0.09,0.29,0.37,0.08,0.1,0.26,-0.03,0.11,0.14,0.02,0.21,-0.19,0.56,-0.01,1.15,85.0,74.0,45.0,77.0,48.0,46.0,70.0,76.0,65.0,72.0,73.0,58.0,14.0,14.0,10.0,49.0,51.0,47.0,51.0,44.0,54.0,24.0,20.0,16.0,30.0,28.0,27.0,14345.30652,13971.892,13991.593,3.5,3.5,3.75,9000.0,9000.0,9000.0,-0.7,-0.8,-0.9,0.156666667,0.115470054,0.256666667,0.162439732,0.103333333,0.025166115,0.216666667,0.141515606,0.073333333,0.090737717,0.078333333,0.065548964,0.113333333,0.09504385,0.11,0.183412104,0.233333333,0.293995465,0.888333333,0.818398843,-31.0,-0.364705882,-33.0,-0.428571429,-5.0,-0.071428571,-24.0,-0.333333333,0.0,0.0,2.0,0.040816327,4.0,0.078431373,3.0,0.125,-11.0,-0.366666667,11.0,0.148648649,29.0,0.644444444,13.0,0.40625,29.0,0.604166667,2.0,0.043478261,7.0,0.179487179,-6.0,-0.078947368,11.0,0.169230769,-1.0,-0.015151515,-1.0,-0.01369863,15.0,0.25862069,-30.0,-0.340909091,0.0,0.0,4.0,0.4,1.0,0.111111111,-2.0,-0.039215686,4.0,0.085106383,-4.0,-0.078431373,7.0,0.159090909,-10.0,-0.185185185,-10.0,-0.15625,4.0,0.2,4.0,0.25,-12.0,-0.428571429,2.0,0.071428571,1.0,0.037037037,8.0,0.421052632,1,0,0,0,0.09,0.13,0.14,0.11,0.15
